,clean_sentence,category
0,seaworld ceo step amid tanking revenue company announces undisclosed number layoff volley public criticism treatment killer whale underscored documentary blackfish outsideonline com nothing like little propaganda coupled good medium campaign sway public perception pathetic saying status quo upheld maybe maybe seaworld make least couple change regarding well animal safety trainer,news
1,strickland charger owner dean spanos goldman sachs agree build la stadium insidestl com utkevinacee twitter com chasingsunsets utkevinacee truth spanos goldman sachs deal build stadium la right look fact definitely look acee,nfl
2,iniesta play keepy uppy one leg man youtube com walking stick like leg almost advantage wasted click let chop one leg find,soccer
3,chappie trailer hugh jackman sci fi comedy hd youtu anyone else feeling trailer intentionally misleading towards tone movie yeah remember movie described comedy shall see turn buck say ending horrifically sad movie comedy,movies
4,church satan may get open city council next meeting prayer devil thinkprogress org love backfired hopefully statue first one long line various religious deity perfectly fine would show america land god people worship,politics
5,godzilla concept art imgur com original script godzilla frozen ice looking imdb film case imdb gt godzilla originally planned found preserved siberian glacier changed filmmaker saw man steel similar scene really unfortunate would amazing seeing godzilla awaken glacier happens final war everyone see final war best literally almost every godzilla monster fight including zilla fast forward new york scene fast forward entire movie film truly awful something final war hilariously top excitingly top one best brain movie ever,movies
6,people ever oppose nsa practice edward snowden revealed spend life prison justice system would never allow snowden present real defense trial one reason give amnesty theguardian com honest question would happen candidate president included granting snowden amnesty part proposed platform die mysteriously within week returning country ahh yes like flight would shot like mysteriously disappear russian airport keep predicting someone death eventually come true nobody life forever make right though,politics
7,mike smith team canada mask imgur com fuckin clean stay clean,hockey
8,interstellar get unexpected twitter review neil degrasse tyson hugecool com hatet part anne hathaway started blab love fuckign doctor basically say fuck science must follow heart damnit edit kinda knew become prom queen comment know scientist also human right fuck thinking science stuff loving someone stupid mcconaughey want save family science dat science else supposed unlock next item tree,movies
9,doc river reaction getting technical iggy style amazonaws com think seen player coach break fourth wall like break fourth wall looking ref camera yes,nba
